,episode_name,tv_show_name,imdb_ratings,runtime_in_mins,director,season
0,We Only See Each Other at Weddings and Funerals,The Umbrella Academy,8.1,59,Peter Hoar,Season 1 | Episode 1
1,Run Boy Run,The Umbrella Academy,8.1,58,Andrew Bernstein,Season 1 | Episode 2
2,Extra Ordinary,The Umbrella Academy,8.2,56,Andrew Bernstein,Season 1 | Episode 3
3,Man on the Moon,The Umbrella Academy,8.3,57,Ellen Kuras,Season 1 | Episode 4
4,Number Five,The Umbrella Academy,8.5,1,Ellen Kuras,Season 1 | Episode 5
5,The Day That Wasn't,The Umbrella Academy,8.7,58,Stephen Surjik,Season 1 | Episode 6
6,The Day That Was,The Umbrella Academy,8.6,57,Stephen Surjik,Season 1 | Episode 7
7,I Heard a Rumor,The Umbrella Academy,8.8,52,Jeremy Webb,Season 1 | Episode 8
8,Changes,The Umbrella Academy,8.8,45,Jeremy Webb,Season 1 | Episode 9
9,The White Violin,The Umbrella Academy,9.0,47,Peter Hoar,Season 1 | Episode 10
10,Winter Is Coming,Game of Thrones,9.0,12,Timothy Van Patten,Season 1 | Episode 1
11,The Kingsroad,Game of Thrones,8.8,56,Timothy Van Patten,Season 1 | Episode 2
12,Lord Snow,Game of Thrones,8.7,58,Brian Kirk,Season 1 | Episode 3
13,"Cripples, Bastards, and Broken Things",Game of Thrones,8.8,56,Brian Kirk,Season 1 | Episode 4
14,The Wolf and the Lion,Game of Thrones,9.1,55,Brian Kirk,Season 1 | Episode 5
15,A Golden Crown,Game of Thrones,9.2,53,Daniel Minahan,Season 1 | Episode 6
16,You Win or You Die,Game of Thrones,9.3,58,Daniel Minahan,Season 1 | Episode 7
17,The Pointy End,Game of Thrones,9.1,59,Daniel Minahan,Season 1 | Episode 8
18,Baelor,Game of Thrones,9.6,57,Alan Taylor,Season 1 | Episode 9
19,Fire and Blood,Game of Thrones,9.5,53,Alan Taylor,Season 1 | Episode 10
20,The North Remembers,Game of Thrones,8.9,53,Alan Taylor,Season 2 | Episode 1
21,The Night Lands,Game of Thrones,8.6,54,Alan Taylor,Season 2 | Episode 2
22,What Is Dead May Never Die,Game of Thrones,8.9,53,Alik Sakharov,Season 2 | Episode 3
23,Garden of Bones,Game of Thrones,8.9,51,David Petrarca,Season 2 | Episode 4
24,The Ghost of Harrenhal,Game of Thrones,8.9,55,David Petrarca,Season 2 | Episode 5
25,The Old Gods and the New,Game of Thrones,9.1,54,David Nutter,Season 2 | Episode 6
26,A Man Without Honor,Game of Thrones,9.0,56,David Nutter,Season 2 | Episode 7
27,The Prince of Winterfell,Game of Thrones,8.9,54,Alan Taylor,Season 2 | Episode 8
28,Blackwater,Game of Thrones,9.7,55,Neil Marshall,Season 2 | Episode 9
29,Valar Morghulis,Game of Thrones,9.4,14,Alan Taylor,Season 2 | Episode 10
30,Valar Dohaeris,Game of Thrones,8.9,55,Daniel Minahan,Season 3 | Episode 1
31,"Dark Wings, Dark Words",Game of Thrones,8.7,56,Daniel Minahan,Season 3 | Episode 2
32,Walk of Punishment,Game of Thrones,8.9,56,David Benioff,Season 3 | Episode 3
33,And Now His Watch Is Ended,Game of Thrones,9.6,53,Alex Graves,Season 3 | Episode 4
34,Kissed by Fire,Game of Thrones,9.0,57,Alex Graves,Season 3 | Episode 5
35,The Climb,Game of Thrones,8.9,53,Alik Sakharov,Season 3 | Episode 6
36,The Bear and the Maiden Fair,Game of Thrones,8.8,58,Michelle MacLaren,Season 3 | Episode 7
37,Second Sons,Game of Thrones,9.1,56,Michelle MacLaren,Season 3 | Episode 8
38,The Rains of Castamere,Game of Thrones,9.9,51,David Nutter,Season 3 | Episode 9
39,Mhysa,Game of Thrones,9.2,13,David Nutter,Season 3 | Episode 10
40,Two Swords,Game of Thrones,9.1,58,D.B. Weiss,Season 4 | Episode 1
41,The Lion and the Rose,Game of Thrones,9.7,52,Alex Graves,Season 4 | Episode 2
42,Breaker of Chains,Game of Thrones,8.9,57,Alex Graves,Season 4 | Episode 3
43,Oathkeeper,Game of Thrones,8.9,55,Michelle MacLaren,Season 4 | Episode 4
44,First of His Name,Game of Thrones,8.8,53,Michelle MacLaren,Season 4 | Episode 5
45,The Laws of Gods and Men,Game of Thrones,9.7,51,Alik Sakharov,Season 4 | Episode 6
46,Mockingbird,Game of Thrones,9.2,51,Alik Sakharov,Season 4 | Episode 7
47,The Mountain and the Viper,Game of Thrones,9.7,52,Alex Graves,Season 4 | Episode 8
48,The Watchers on the Wall,Game of Thrones,9.6,51,Neil Marshall,Season 4 | Episode 9
49,The Children,Game of Thrones,9.7,15,Alex Graves,Season 4 | Episode 10
50,The Wars to Come,Game of Thrones,8.6,53,Michael Slovis,Season 5 | Episode 1
51,The House of Black and White,Game of Thrones,8.6,56,Michael Slovis,Season 5 | Episode 2
52,High Sparrow,Game of Thrones,8.6,1,Mark Mylod,Season 5 | Episode 3
53,Sons of the Harpy,Game of Thrones,8.8,51,Mark Mylod,Season 5 | Episode 4
54,Kill the Boy,Game of Thrones,8.7,57,Jeremy Podeswa,Season 5 | Episode 5
55,"Unbowed, Unbent, Unbroken",Game of Thrones,8.1,54,Jeremy Podeswa,Season 5 | Episode 6
56,The Gift,Game of Thrones,9.1,59,Miguel Sapochnik,Season 5 | Episode 7
57,Hardhome,Game of Thrones,9.9,11,Miguel Sapochnik,Season 5 | Episode 8
58,The Dance of Dragons,Game of Thrones,9.5,52,David Nutter,Season 5 | Episode 9
59,Mother's Mercy,Game of Thrones,9.1,1,David Nutter,Season 5 | Episode 10
60,The Red Woman,Game of Thrones,8.6,50,Jeremy Podeswa,Season 6 | Episode 1
61,Home,Game of Thrones,9.5,54,Jeremy Podeswa,Season 6 | Episode 2
62,Oathbreaker,Game of Thrones,8.8,52,Daniel Sackheim,Season 6 | Episode 3
63,Book of the Stranger,Game of Thrones,9.2,59,Daniel Sackheim,Season 6 | Episode 4
64,The Door,Game of Thrones,9.7,57,Jack Bender,Season 6 | Episode 5
65,Blood of My Blood,Game of Thrones,8.5,52,Jack Bender,Season 6 | Episode 6
66,The Broken Man,Game of Thrones,8.7,51,Mark Mylod,Season 6 | Episode 7
67,No One,Game of Thrones,8.4,59,Mark Mylod,Season 6 | Episode 8
68,Battle of the Bastards,Game of Thrones,9.9,1,Miguel Sapochnik,Season 6 | Episode 9
69,The Winds of Winter,Game of Thrones,9.9,18,Miguel Sapochnik,Season 6 | Episode 10
70,Dragonstone,Game of Thrones,8.7,59,Jeremy Podeswa,Season 7 | Episode 1
71,Stormborn,Game of Thrones,9.0,59,Mark Mylod,Season 7 | Episode 2
72,The Queen's Justice,Game of Thrones,9.3,13,Mark Mylod,Season 7 | Episode 3
73,The Spoils of War,Game of Thrones,9.8,50,Matt Shakman,Season 7 | Episode 4
74,Eastwatch,Game of Thrones,9.0,59,Matt Shakman,Season 7 | Episode 5
75,Beyond the Wall,Game of Thrones,9.2,110,Alan Taylor,Season 7 | Episode 6
