,tv_show_name,tv_show_id,imdb_rating,votes,tv_show_description,runtime,genre,star_cast,start_year,end_year
0,The Umbrella Academy,tt1312171,8.3,34413,"A disbanded group of superheroes reunites after their adoptive father, who trained them to save the world, dies.",60,"Action, Adventure, Comedy","['Ellen Page', 'Tom Hopper', 'David Castañeda', 'Emmy Raver-Lampman']",2019,
1,Game of Thrones,tt0944947,9.5,1416698,"Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.",57,"Action, Adventure, Drama","['Emilia Clarke', 'Peter Dinklage', 'Kit Harington', 'Lena Headey']",2011,
2,True Detective,tt2356777,9.0,429199,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",55,"Crime, Drama, Mystery","['Vince Vaughn', 'Colin Farrell', 'Rachel McAdams', 'Taylor Kitsch']",2014,
3,The Walking Dead,tt1520211,8.3,773447,"Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins, and must lead a group of survivors to stay alive.",44,"Drama, Horror, Sci-Fi","['Andrew Lincoln', 'Norman Reedus', 'Melissa McBride', 'Lauren Cohan']",2010,
4,Doom Patrol,tt8416494,8.6,4075,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,60,"Action, Adventure, Comedy","['Diane Guerrero', 'April Bowlby', 'Alan Tudyk', 'Matt Bomer']",2019,
5,Whiskey Cavalier,tt7599942,7.0,921,"An FBI agent and his new partner, a CIA operative, embark on missions to save the world, but have to put up with each other first.",60,"Action, Adventure, Comedy","['Scott Foley', 'Lauren Cohan', 'Ana Ortiz', 'Tyler James Williams']",2019,
6,Dirty John,tt7945720,7.2,5410,Debra's seemingly perfect life is disrupted as she falls for a handsome doctor who sweeps her into a whirlwind romance. But her handsome new beau pulls Debra into a sinister game of psychological manipulation.,50,Drama,"['Connie Britton', 'Eric Bana', 'Juno Temple', 'Julia Garner']",2018,
7,Grey's Anatomy,tt0413573,7.6,207673,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,41,"Drama, Romance","['Justin Chambers', 'Chandra Wilson', 'Ellen Pompeo', 'James Pickens Jr.']",2005,
8,Sex Education,tt7767422,8.4,46084,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,45,"Comedy, Drama","['Asa Butterfield', 'Gillian Anderson', 'Emma Mackey', 'Alistair Petrie']",2019,
9,Shameless,tt1586680,8.7,165905,"A scrappy, fiercely loyal Chicago family makes no apologies.",46,"Comedy, Drama","['Emmy Rossum', 'William H. Macy', 'Ethan Cutkosky', 'Jeremy Allen White']",2011,
10,Russian Doll,tt7520794,8.1,26678,A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.,30,"Comedy, Drama, Mystery","['Natasha Lyonne', 'Charlie Barnett', 'Greta Lee', 'Elizabeth Ashley']",2019,
11,The Orville,tt5691552,7.9,43495,An exploratory ship from Earth faces intergalactic challenges 400 years in the future.,44,"Adventure, Comedy, Drama","['Seth MacFarlane', 'Adrianne Palicki', 'Penny Johnson Jerald', 'Scott Grimes']",2017,
12,Brooklyn Nine-Nine,tt2467372,8.4,136174,"Jake Peralta, an immature, but talented N.Y.P.D. detective in Brooklyn's 99th Precinct, comes into immediate conflict with his new commanding officer, the serious and stern Captain Ray Holt.",22,"Comedy, Crime","['Andy Samberg', 'Stephanie Beatriz', 'Terry Crews', 'Melissa Fumero']",2013,
