Video ID,comments
0DAmWHxeoKw,Bro Klaus tho
0DAmWHxeoKw,"It was great, Until they started dancing randomly for no reason.
I stopped watching because of it.
Whoever thought that was a good idea needs to be fired."
0DAmWHxeoKw,This looks like absolute shit
0DAmWHxeoKw,Já assisti a série gostei e quro saber se tem mais
0DAmWHxeoKw,"Aw, I was hoping Spaceboy would get to keep his robot monkey body."
rlR4PJn8b8I,*stannis is alive..and hodor is  STILL holding the DOOR*
rlR4PJn8b8I,Que pinshis nervios! (Spanish Valiryan) 😱😱
rlR4PJn8b8I,"This prayer shall the Saoshyants, Saviours, Chant; and by the chanting of it I shall rule over my creatures. I who am Ahura Mazda (the Lord of Light). Not shall Ahriman have power, Anra Mainyu, o'er my creatures, He (the fiend (the Night King)) of foul religion. 3. In the earth shall Ahriman hide, In the earth, the demons hide. *Up, the dead again shall rise And within their lifeless bodies Incorporate life shall be restored.*

The night king wins... But after he wins, the Lord of light kills him and revives everyone"
rlR4PJn8b8I,"I'm dieing to see this. Lol! My exams are there😐
I wish Cersie was the 1 living close to white walkers than winterfell. Now that dumb will just sit back & watch. 
In case something like this happens; that the North fights bravely & with a lot of sacrifices, barely defeat white walkers,  & then Cersie decides to take them. I'll just lose it. I will be fuuuuurrrrrious 😠 as f***."
rlR4PJn8b8I,Can't wait for it to start but going to be a sad day when it ends
VQljeqzppjs,I think the little clip from Vietnam at the end symbolizes how he's finally back to his normal self. The decision of marrying his wife is (for the most part) his first choice in life besides going to Vietnam.
VQljeqzppjs,"the worse of all three shows, clunky and without a pace at all....it actually means nothing...and not even the good kind of nothing...it's just Jacobs Ladder across eight episodes..thank god it didn not run for more episodes like the first two.

the first season was a masterpiece (my opinion is they should have stopped there), the second was worse but it was not a bad film, just that everything was too mundane..(but the characters were cool) 

all characters of the first two shows were FUCKED UP...that was their main charm...all were damaged goods....

here it looks that the maker couldn't realy decide how his cahracters should be....and they seem pulled in many directions but go into none...


I get the take on the metaphysical TIME IS A FLAT CIRCLE ..and that everything exists in a single moment, that NOTHING actually happens , and all is a clever concoted illusion...but you don't need eight fucking episodes to express that (however the film does express this point PERFECTLY tho)


the first season expressed that feeling also, but it expanded on the STRUGGLE of human beings within that state...there was ACTUAL DRAMA there ..although drama was not the point....there was emotion , depth of feeling , melancholy.....here there are only shallow attemps at emotions and zero depth...the moments that try to be profound are robbed of depth by a much too shallow and rushed presentation


none of the characters REALLY STRUGGLE..Although the film tries to trick the audience into beliving so...


to sum things up ..you watch eight episodes..only to come to the conclusion that nothing happened...too bad for the great crushing atmosphere...

Jacobs ladder had struggle...this feels half assed low budget to me ...even like a cheap ripoff....almost a waste of time"
VQljeqzppjs,"I don’t know why Roland felt so guilty, that was a justified shooting. I know the beat down or the cover of weren’t but anyways nice break down. Good job."
VQljeqzppjs,So is the ending scene where he’s walking into the jungle supposed to be what was going through his mind as they were walking out of the vfw?
VQljeqzppjs,"So many rating season 3 to season 1. 
Season 1 had many flaws, several stolen cinematic scenes, many goofs in continuity, and useless pieces of info introduced in order to make it look mysterious. Season 1 was also not very good in its story line, or presentation."
_griZYR93oo,"If it is the same with the comics it will be bad for the show,because you know already what will going to happen so they change it for the audience..."
_griZYR93oo,Michael Meyers fan club. Lmfao!
_griZYR93oo,Alpha is a lot less cruel in the comic
_griZYR93oo,"Michael Mayers fanclub bahaha 
(Sorry if i mispelled the name!)"
_griZYR93oo,why does this video only have 485 likes?
6tTM9nbRk5A,"Wait, Brendan Fraser? Heh. Groovy."
6tTM9nbRk5A,Forgive me. Newbie question. Why does Rotten Tomatoes have no audience score on this?
6tTM9nbRk5A,Remember X-men?
6tTM9nbRk5A,the umbrella academy
6tTM9nbRk5A,"Yes, Brendan Fraser 💪🏽"
QQCoXOKZJiE,No Whiskey for me!
QQCoXOKZJiE,This is going to be an amazing show
QQCoXOKZJiE,Found gps narration annoying.
QQCoXOKZJiE,"Looks dumb ass fuck, hope it crash and burns! Lol"
QQCoXOKZJiE,I like the looks of this!🤗
LbvfBECmdyM,"It's shameful when people just say disrespectful comments regarding Debra's experience. Some percent  of people are deceitful, compulsive liars, con artists etc... Sociopath know exactly what to do to manipulate you, gaslight, isolate  and trauma bond. If you have no experience regarding what you go through in such abusive and toxic relationship I suggest, you should avoid commenting such ignorant opinions. I'm personally a survivor of a sociopath. So be kind, everyone is fighting their on battles."
LbvfBECmdyM,donde lo puedo ver subtitulado?
LbvfBECmdyM,The name to this people is psychopath
LbvfBECmdyM,"The documentary is amazing. So is the Netflix series. I say this because I’ve always liked Eric Bana as an actor.  Great performances. And when I saw the series, I wanted to fucking kill him.  Every time he pulled something, I’d start muttering what a lowlife piece of shit scumbag this guy is.  My wife thought it was funny.  I kept wondering how nobody put a bullet in him.  Seriously.  This guy needed to die way before he did.  At the hands of a woman no less. How ironic.  You almost wish he would have survived so you could laugh in his face. Sadly?  There probably isn’t one person that shed a tear that he was killed.  Not one.  Ohh,  and rightly so. Anyone this guy came in contact with was glad he was taken out. In this whole world, not one person gave a shit this cocksucking lowlife was stabbed in the eye and discarded like garbage. So fitting.  Flush the toilet. This turd stunk up the world long enough.  But I’m not fooled for a second.  I know there’s going to be more trash to clean up like him.  And may they all find the same end. I hope."
LbvfBECmdyM,MILF's are so desperate and stupid .... like wtf !!
opMddXli3xM,The happiest I’ve seen Meredith after dereck
opMddXli3xM,To entendendo nada🙄 tenho q aprender inglês 😁😁😂😂😂
opMddXli3xM,"moment,moment,moment...Bookie had a line!!!!!!!!!!!!!!!!!"
opMddXli3xM,I LOVE BOKI
opMddXli3xM,"the moment you realize you have watched too many kdramas is when you don't need the subtitles and just by listening to them speaking, you know they're korean lol"
2KjCteCtPAY,Sorry god
2KjCteCtPAY,So sexy boy
2KjCteCtPAY,"Girl:aaahhhhh
Boy:😐"
2KjCteCtPAY,They are together in real 😂
2KjCteCtPAY,Jiggly jiggly
fGlb2lQOA68,This scene brought me to genuine tears🧡 “there can be 100 people in a room...” *in my Lady GaGa voice*
fGlb2lQOA68,I’m so happy she is leaving
fGlb2lQOA68,I always knew Max was a good guy.
fGlb2lQOA68,"Mann, I wonder if she gives the fam some cash before leaving. I cant believe she is leaving shameless. I hope she comes back for like the final season or even just finale ep. I LOVE Fi so much!"
fGlb2lQOA68,Really thought she'd runaway with Jimmy/steve
YHcKoAMGGvY,Just finished watching this series. Episode 1 was boring at first but the rest was amazing.. go and watch it
YHcKoAMGGvY,"I’m on episode three right now and I’m loving it!! Such a great concept, very realistic :)"
YHcKoAMGGvY,"This show was superb, the writing, the backstory, and the acting! The fact that its so different from what's currently on t.v is what made it even better! Amazing show."
YHcKoAMGGvY,cool so its like groundhog day but less funny
YHcKoAMGGvY,What is the best Netflix original of 2019.
7WQFrVA20vg,"I dont understand people who are too anxious to wait and get to know the characters of a show, come on you need time to care for someone, right? This is why people need to chill and wait until all is said and done, and just then draw some conclusions. Thats one of the reasons i love The Orville, it takes its time to build each character, none of them is as important as the group that they together make, and none of them have all the answers (cof cof im looking at you Micheal Burnham...). God I hope one day Seth gets the chance to direct a Star Trek series, or at least give us 8 more seasons of The Orville jeje"
7WQFrVA20vg,Great review to watch before viewing episode 10...  Thanks fella!
7WQFrVA20vg,"""But... But... Discovery has Michael Burnham! She would've taken down the whole Kaylon fleet with simple plan!"""
7WQFrVA20vg,Have to admit that was one of the better space battles I have seen on television. Or even the movies
7WQFrVA20vg,"I have a new name for this episode: OLD BLUE EYES IS BACK!!!

BTW: I believe Isaac has blue eyes because he was constructed later--so that his ""age"" is immediately known by the color of his eyes."
NBLFm-7H1Ug,Awful
NBLFm-7H1Ug,"""Not my fault i had a toilet problem"" 😂😂😂"
NBLFm-7H1Ug,11:09 Mad cute
NBLFm-7H1Ug,Go and watch 'The Shooting AKA Dear Sister '. You're welcome
NBLFm-7H1Ug,❤ love this show
QFB_VNu4G9o,And who are your favorite characters from the show?
QFB_VNu4G9o,"Travis and Katharine?
It ain't happening because ragnar is DEAD"
QFB_VNu4G9o,"Ragnar, Bjorn, and Flori are my 3 favs."
QFB_VNu4G9o,Where tf is ubbe?!!!
QFB_VNu4G9o,team largertha all the way!......
XM0xWpBYlNM,"Watching this on putlocker, the entire 5 hour thing was the most confusing and frustrating thing I've ever done in my life"
XM0xWpBYlNM,it may be the first one in a new genre but i don't think it was that good in being what it is
XM0xWpBYlNM,Im still thinking about what they’ll do after this one
XM0xWpBYlNM,"Hi, I’m going to watch Black Mirror.. Is it worth my time?"
XM0xWpBYlNM,"This was really good. But I think it would've messed with people's heads more if it would had been slightly different. If they hadn't allowed the viewer to choose the path and if there hadn't been a Netflix spoof scene then viewers wouldn't be connecting the ""spirit out there"" to us. The viewer would've been left on a cliff hanger, not in the film, but on life itself. Because shows such as black mirror and the twilight zone make you second guess reality.  What is real? What is not?"
AqbIrTWTlCU,Damn
AqbIrTWTlCU,"AMAZING , can we have an edit were you use Holy Wars...The Punishment due , after all MEGADETH did that song cause Mustaine is a huger fan of the punisher."
AqbIrTWTlCU,"Really impressed; especially that ending, amazing! Good job! --> Subscribed :)"
AqbIrTWTlCU,this is fucking awesome
AqbIrTWTlCU,"I thought the music was going to transition into a badass version of ""Paint it Black"""
tplHcZlgDyk,59:13 was the single funniest thing I’ve ever seen on this show
tplHcZlgDyk,""" A rising to power is most inappropriate to its actual journey, and most often it is your face that is most inappropriate.  That's why we have stock photos, marketing, and pseudonyms in a secret scientific Hell.  Me, I'm really a book hound, a poet, a mathematician, even a physicist, and a ring maker, but I look more like a prince.  I've spent significant time with the Occults and Devilry.  I'm also a schizophrenic.  I've played drums and bass guitar, but...I also am drug-free.  I have a degree in Graphic Design and a lot a machining skills.   Image is everything.  Come see who really runs the world and how.  Your all nothing faces in post. Things are not as they appear, buddy.  Keep that in mind. If there is God you may meet him and find out he's really the Devil.  I'm also German and Spanish, my mother is Brown and worked for CIA intelligence and my father worked with Atomic Weaponry, and I come from the upper-middle class.  My logic simply does not work that way."" -AKA, Vase Basaline"
tplHcZlgDyk,"Watched all through, It was funny and ty :)"
tplHcZlgDyk,هذا المسلسل انا مدمن عليه
tplHcZlgDyk,"Mr Sheldon here seems to be really smart. No he 1is not. He might have much knowledge, but he is the damnest idiot in the world when it comes to wisdom. He is an idiot."
Yuf8ZPV1y20,"Hey Wayward boys and girls thanks for watching! SUBSCRIBE: https://goo.gl/60o63j 
SUPPORT The Channel: https://goo.gl/D6Gbn5
GET Your Awesome SPN Show & Convention Products Here: https://amzn.to/2wYGmy7
Click the notification bell next to the subscribe button under the video to get notified of my new videos! :)"
Yuf8ZPV1y20,the sergeant is back
Yuf8ZPV1y20,This episode is top 5 easy.
Yuf8ZPV1y20,где перевод
Yuf8ZPV1y20,I'd like to see the boys tell him about Adam and then have John lose his shit on them for leaving Adam in hell
5sUana1mP_U,Please...... more of Harvey and Donna hot and steamy in season 9!!!
5sUana1mP_U,I've watched this almost an embarassing amount of times.
5sUana1mP_U,And this is why I stopped wearing sweatpants and holey shirts around the house.
5sUana1mP_U,The music used in this scene is just perfect
5sUana1mP_U,But wouldn’t Harvey have been even a little concerned that he would encounter Thomas when he dropped by her apartment unannounced? Just wondering.
GfYp06R1-5E,hated first season and just felt that in season 2 they listen to all my complaint even though i never expressed them publicly BRAVO!
GfYp06R1-5E,The red angel will prove to be Chief O'Brien.
GfYp06R1-5E,its true that the episode with suru death tilly death vision and the dying planet is overcrowded with elements but still a great episode!!!
GfYp06R1-5E,"I have to admit I’m disappointed we have a mid season break, which means their doing a good job if I want to see more.

I’m liking the actor playing pike he is no Jason Isaacs but he is still good, I don’t know how they do it but pike looks old and young at the same time, I still dislike Michael, no we’re near as much as in the first half of season one but she is my least favourite cast member, but every show has to have a most to least favourite list and Michael isn’t Tilly, suru (I’m probably still spelling that wrong) stamus (I’m probably spelling that wrong too) 

I’m actually liking the use of section 31, yes they don’t line up with what we know in DS9 but that’s over 100 years later that’s more than enough time for them to erase them self’s from the history books and everyone alive to forget about them (or be assassinated) heck we have forgotten stuff that happen 20years back and that without a well funded, well equipped and skilled organisation covering it up, so ye I’m fine with it also I think I cheered when the emperoress showed back up for the first time.

Also you mention that there is no subspace but what if their is, what if what ends up been called subspace is actually the mycelial network?"
GfYp06R1-5E,"I think you've nailed the issue that I've been struggling to deal with in watching Discovery. It is a little dense in Plot but that may only require an adjustment in how I watch the show. I've missed the last 3 or 4 episodes, but on hearing of the return of the Talosian's, I had my interest peaked. Watching this video has convinced me that the show deserves another go."
7F60FXH4FMw,He looks like Sean Penn when he was younger
